"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","8","testcases","test_address","","","","test_addNewAddress[result1]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","7","testcases","test_address","","","","test_updateAddressByAid[result0]",""
"failed","Thu Jan 25 17:26:25 CST 2024","Thu Jan 25 17:26:25 CST 2024","19","testcases","test_user","","","","test_register[result0]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","6","testcases","test_user","","","","test_login[res0]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","5","testcases","test_address","","","","test_updateAddressByAid[result1]",""
"failed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","8","testcases","test_order","","","","test_order_submit[result1]",""
"broken","Thu Jan 25 02:24:18 CST 2024","Thu Jan 25 02:24:18 CST 2024","0","testcases","test_user","","","","test_login",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","6","testcases","test_address","","","","test_getDeafultAddress[result0]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","5","testcases","test_address","","","","test_getAddressByAid[result0]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","21","testcases","test_order","","","","test_order_getall[result0]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","7","testcases","test_address","","","","test_addNewAddress[result0]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","5","testcases","test_address","","","","test_delAddressByAid[result1]",""
"broken","Tue Jan 23 23:42:47 CST 2024","Tue Jan 23 23:42:49 CST 2024","2018","testcases","test_user","","","","test_login[result2]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","5","testcases","test_user","","","","test_login[res2]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","5","testcases","test_user","","","","test_register[res0]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","8","testcases","test_order","","","","test_order_submit[result0]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","6","testcases","test_user","","","","test_register[res1]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","4","testcases","test_address","","","","test_getAddressByAid[result1]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","6","testcases","test_address","","","","test_getsAddressList[result0]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","5","testcases","test_user","","","","test_login[res1]",""
"passed","Thu Jan 25 17:26:25 CST 2024","Thu Jan 25 17:26:25 CST 2024","5","testcases","test_user","","","","test_register[result2]",""
"passed","Thu Jan 25 17:26:25 CST 2024","Thu Jan 25 17:26:25 CST 2024","22","testcases","test_user","","","","test_register[result1]",""
"broken","Tue Jan 23 23:42:45 CST 2024","Tue Jan 23 23:42:47 CST 2024","2004","testcases","test_user","","","","test_login[result1]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","6","testcases","test_user","","","","test_register[res2]",""
"passed","Thu Jan 25 17:51:27 CST 2024","Thu Jan 25 17:51:27 CST 2024","5","testcases","test_address","","","","test_delAddressByAid[result0]",""
"broken","Tue Jan 23 23:42:43 CST 2024","Tue Jan 23 23:42:45 CST 2024","2014","testcases","test_user","","","","test_login[result0]",""
